채널,메시지프레이밍,메시지소구,광고모델,클릭율
4,1,1,1,0.05500
4,2,2,2,0.02200
4,1,1,3,0.01200
4,1,1,3,0.01200
4,2,2,2,0.02600
4,1,2,3,0.02000
4,1,1,3,0.01300
4,1,2,1,0.02400
4,1,2,2,0.00600
4,1,1,2,0.05200
4,1,1,3,0.02500
4,1,1,1,0.02800
4,1,1,3,0.03800
4,1,2,2,0.02600
4,1,2,1,0.06600
4,1,1,1,0.07200
4,1,1,3,0.04100
4,1,2,3,0.02100
4,1,2,2,0.01000
4,2,2,2,0.02000
4,1,2,3,0.01200
4,1,1,3,0.03900
4,2,2,1,0.03600
4,1,2,1,0.02300
4,2,2,2,0.01400
4,1,1,3,0.01200
4,1,1,3,0.01300
4,1,1,3,0.01300
4,1,1,3,0.01400
4,1,1,3,0.02500
4,1,2,3,0.01200
4,2,2,3,0.01300
4,2,2,2,0.02000
4,1,1,3,0.01200
4,1,2,3,0.03000
4,1,1,1,0.02000
4,1,2,2,0.01600
4,1,2,2,0.03200
4,1,2,1,0.02600
4,1,1,3,0.02700
4,1,1,3,0.01500
4,1,2,3,0.02400
4,1,1,2,0.04400
4,1,1,1,0.02400
4,1,2,2,0.01700
4,1,1,3,0.01100
4,1,2,3,0.01300
4,1,1,3,0.02600
4,1,2,1,0.02800
4,1,1,3,0.02500
4,2,1,1,0.02500
4,1,1,3,0.01600
4,1,2,1,0.03600
4,1,2,2,0.01700
4,1,2,2,0.01200
4,1,1,3,0.03100
4,1,2,2,0.00600
4,1,1,3,0.01900
4,1,2,3,0.01400
4,1,2,3,0.02500
4,1,1,3,0.02800
4,2,1,3,0.00500
4,1,2,2,0.02000
4,1,2,2,0.01000
4,1,1,3,0.03600
4,1,2,1,0.03400
4,1,1,2,0.02000
4,1,1,3,0.01500
4,1,2,2,0.01600
4,1,2,3,0.01300
4,1,1,2,0.03100
4,2,1,3,0.00800
4,1,2,3,0.01500
4,1,1,3,0.01100
4,2,2,3,0.02100
4,1,1,3,0.01900
4,1,1,3,0.01500
4,1,2,3,0.01300
4,1,2,3,0.02000
4,1,2,1,0.01600
4,1,2,1,0.02600
4,1,1,2,0.01300
4,2,1,3,0.00600
4,1,2,2,0.01200
4,2,1,3,0.00500
4,1,2,1,0.05400
4,2,2,3,0.01900
4,1,1,1,0.01000
4,1,2,2,0.00600
4,1,1,3,0.00900
4,1,1,3,0.06900
4,1,1,3,0.02700
4,1,1,3,0.01600
4,2,2,2,0.01000
4,1,1,1,0.02200
4,1,1,3,0.01200
4,1,1,3,0.03200
4,1,1,3,0.01400
4,1,1,3,0.01400
4,2,1,3,0.00700
4,1,1,2,0.03000
4,2,1,3,0.02500
4,1,1,3,0.01200
4,1,1,3,0.01000
4,1,2,3,0.00400
4,1,2,2,0.01100
4,1,2,2,0.01000
4,1,1,3,0.00800
4,2,2,3,0.01400
4,1,2,3,0.02400
4,1,1,1,0.01800
4,1,1,2,0.02800
4,2,1,3,0.00600
4,1,2,1,0.04000
4,1,2,2,0.03200
4,2,1,3,0.00700
4,1,2,2,0.02000
4,1,2,3,0.00900
4,1,1,3,0.01600
4,2,1,3,0.03500
4,1,2,2,0.00800
4,1,1,3,0.01400
4,1,1,3,0.02000
4,2,1,3,0.00900
4,2,1,3,0.01500
4,1,1,3,0.01000
4,2,1,3,0.01300
4,2,2,3,0.00900
4,1,2,2,0.01200
4,1,2,2,0.01200
4,1,1,2,0.02200
4,1,2,2,0.00600
4,1,1,2,0.01700
4,1,2,3,0.01500
4,1,2,2,0.01800
4,1,2,3,0.01300
4,2,2,2,0.01400
4,1,2,2,0.02000
4,1,1,3,0.01000
4,1,1,3,0.02000
4,1,1,3,0.01500
4,1,2,3,0.01900
4,1,2,2,0.02100
4,1,2,1,0.02000
4,1,1,3,0.02600
4,1,2,2,0.01000
4,1,2,2,0.03200
4,1,1,3,0.01200
4,1,1,3,0.01700
4,1,1,3,0.01300
4,1,2,1,0.03500
4,2,2,2,0.02700
