메시지프레이밍,메시지소구,광고모델, 클릭율 
손실(예방적),이성적,캐릭터,0.015
손실(예방적),감성적,일반인,0.015
이득(향상적),이성적,일반인,0.023
이득(향상적),이성적,일반인,0.014
손실(예방적),감성적,캐릭터,0.008
손실(예방적),감성적,일반인,0.006
이득(향상적),이성적,일반인,0.006
이득(향상적),이성적,일반인,0.006
이득(향상적),감성적,캐릭터,0.038
이득(향상적),감성적,전문가,0.003
이득(향상적),감성적,일반인,0.024
이득(향상적),이성적,일반인,0.009
이득(향상적),이성적,일반인,0.03
이득(향상적),이성적,일반인,0.031
이득(향상적),감성적,일반인,0.009
이득(향상적),감성적,일반인,0.042
이득(향상적),감성적,일반인,0.043
이득(향상적),감성적,일반인,0.008
이득(향상적),감성적,일반인,0.015
이득(향상적),감성적,캐릭터,0.019
이득(향상적),이성적,일반인,0.011
이득(향상적),이성적,일반인,0.024
이득(향상적),이성적,일반인,0.013
이득(향상적),감성적,일반인,0.048
손실(예방적),감성적,캐릭터,0.032
이득(향상적),이성적,일반인,0.008
이득(향상적),감성적,캐릭터,0.048
이득(향상적),이성적,일반인,0.016
이득(향상적),감성적,일반인,0.029
이득(향상적),이성적,일반인,0.01
이득(향상적),감성적,캐릭터,0.038
이득(향상적),이성적,캐릭터,0.01
이득(향상적),감성적,캐릭터,0.07
이득(향상적),이성적,캐릭터,0.013
이득(향상적),감성적,전문가,0.043
손실(예방적),감성적,캐릭터,0.051
이득(향상적),감성적,일반인,0.013
이득(향상적),이성적,캐릭터,0.034
이득(향상적),이성적,일반인,0.021
이득(향상적),감성적,캐릭터,0.049
이득(향상적),감성적,캐릭터,0.01
이득(향상적),이성적,캐릭터,0.051
이득(향상적),감성적,일반인,0.005
이득(향상적),이성적,일반인,0.043
이득(향상적),감성적,일반인,0.015
이득(향상적),감성적,일반인,0.059
이득(향상적),감성적,일반인,0.023
손실(예방적),감성적,캐릭터,0.01
이득(향상적),감성적,캐릭터,0.058
이득(향상적),이성적,일반인,0.013
이득(향상적),감성적,캐릭터,0.038
이득(향상적),감성적,캐릭터,0.014
이득(향상적),감성적,캐릭터,0.028
이득(향상적),감성적,캐릭터,0.008
이득(향상적),감성적,일반인,0.029
이득(향상적),감성적,캐릭터,0.013
이득(향상적),감성적,일반인,0.017
이득(향상적),감성적,일반인,0.075
이득(향상적),감성적,일반인,0.023
이득(향상적),감성적,일반인,0.069
이득(향상적),감성적,일반인,0.012
이득(향상적),감성적,캐릭터,0.065
이득(향상적),감성적,캐릭터,0.008
이득(향상적),감성적,일반인,0.063
이득(향상적),감성적,일반인,0.014
이득(향상적),감성적,일반인,0.062
손실(예방적),이성적,캐릭터,0.012
이득(향상적),감성적,캐릭터,0.074
이득(향상적),감성적,일반인,0.012
이득(향상적),이성적,캐릭터,0.023
이득(향상적),감성적,일반인,0.015
이득(향상적),감성적,캐릭터,0.035
이득(향상적),이성적,일반인,0.077
이득(향상적),감성적,일반인,0.048
손실(예방적),감성적,캐릭터,0.017
이득(향상적),감성적,일반인,0.006
손실(예방적),감성적,일반인,0.05
이득(향상적),이성적,일반인,0.023
이득(향상적),감성적,캐릭터,0.031
이득(향상적),이성적,캐릭터,0.014
이득(향상적),감성적,일반인,0.064
손실(예방적),감성적,캐릭터,0.02
이득(향상적),이성적,일반인,0.015
이득(향상적),감성적,캐릭터,0.083
이득(향상적),감성적,일반인,0.019
손실(예방적),감성적,일반인,0.083
이득(향상적),감성적,일반인,0.024
이득(향상적),이성적,캐릭터,0.097
이득(향상적),감성적,캐릭터,0.018
이득(향상적),감성적,캐릭터,0.012
이득(향상적),이성적,일반인,0.043
손실(예방적),감성적,일반인,0.018
손실(예방적),감성적,캐릭터,0.035
이득(향상적),감성적,일반인,0.023
손실(예방적),감성적,캐릭터,0.024
손실(예방적),감성적,캐릭터,0.021
이득(향상적),감성적,일반인,0.04
이득(향상적),감성적,일반인,0.015
이득(향상적),감성적,일반인,0.015
손실(예방적),감성적,일반인,0.047
이득(향상적),감성적,캐릭터,0.018
이득(향상적),감성적,일반인,0.072
이득(향상적),감성적,일반인,0.024
손실(예방적),감성적,일반인,0.057
이득(향상적),이성적,일반인,0.027
손실(예방적),감성적,캐릭터,0.079
손실(예방적),감성적,일반인,0.028
이득(향상적),감성적,일반인,0.08
손실(예방적),감성적,일반인,0.033
