Framing,Appeal,Models,CTR
Positive,Emotional,Ordinary,0.025
Positive,Emotional,Ordinary,0.053
Positive,Emotional,Ordinary,0.042
Negative,Emotional,Character,0.015
Negative,Emotional,Character,0.029
Negative,Emotional,Character,0.009
Negative,Emotional,Character,0.018
Positive,Rational,Ordinary,0.014
Positive,Rational,Ordinary,0.031
Positive,Emotional,Character,0.002
Positive,Emotional,Character,0.011
Positive,Emotional,Ordinary,0.027
Positive,Emotional,Ordinary,0.018
Positive,Emotional,Ordinary,0.029
Positive,Emotional,Ordinary,0.012
Positive,Emotional,Ordinary,0.018
Negative,Emotional,Character,0.013
Positive,Rational,Ordinary,0.008
Negative,Rational,Character,0.015
Negative,Emotional,Ordinary,0.015
Positive,Rational,Ordinary,0.023
Positive,Rational,Ordinary,0.014
Negative,Emotional,Character,0.008
Negative,Emotional,Ordinary,0.006
Positive,Rational,Ordinary,0.006
Positive,Rational,Ordinary,0.006
Positive,Emotional,Character,0.038
Positive,Emotional,Expert,0.003
Positive,Emotional,Ordinary,0.024
Positive,Rational,Ordinary,0.009
Positive,Rational,Ordinary,0.03
Positive,Rational,Ordinary,0.031
Positive,Emotional,Ordinary,0.009
Positive,Emotional,Ordinary,0.042
Positive,Emotional,Ordinary,0.043
Positive,Emotional,Ordinary,0.008
Positive,Emotional,Ordinary,0.015
Positive,Emotional,Character,0.019
Positive,Rational,Ordinary,0.011
Positive,Rational,Ordinary,0.024
Positive,Rational,Ordinary,0.013
Positive,Emotional,Ordinary,0.048
Negative,Emotional,Character,0.032
Positive,Rational,Ordinary,0.008
Positive,Emotional,Character,0.048
Positive,Rational,Ordinary,0.016
Positive,Emotional,Ordinary,0.029
Positive,Rational,Ordinary,0.01
Positive,Emotional,Character,0.038
Positive,Rational,Character,0.01
Positive,Emotional,Character,0.07
Positive,Rational,Character,0.013
Positive,Emotional,Expert,0.043
Negative,Emotional,Character,0.051
Positive,Emotional,Ordinary,0.013
Positive,Rational,Character,0.034
Positive,Rational,Ordinary,0.021
Positive,Emotional,Character,0.049
Positive,Emotional,Character,0.01
Positive,Rational,Character,0.051
Positive,Emotional,Ordinary,0.005
Positive,Rational,Ordinary,0.043
Positive,Emotional,Ordinary,0.015
Positive,Emotional,Ordinary,0.059
Positive,Emotional,Ordinary,0.023
Negative,Emotional,Character,0.01
Positive,Emotional,Character,0.058
Positive,Rational,Ordinary,0.013
Positive,Emotional,Character,0.038
Positive,Emotional,Character,0.014
Positive,Emotional,Character,0.028
Positive,Emotional,Character,0.008
Positive,Emotional,Ordinary,0.029
Positive,Emotional,Character,0.013
Positive,Emotional,Ordinary,0.017
Positive,Emotional,Ordinary,0.075
Positive,Emotional,Ordinary,0.023
Positive,Emotional,Ordinary,0.069
Positive,Emotional,Ordinary,0.012
Positive,Emotional,Character,0.065
Positive,Emotional,Character,0.008
Positive,Emotional,Ordinary,0.063
Positive,Emotional,Ordinary,0.014
Positive,Emotional,Ordinary,0.062
Negative,Rational,Character,0.012
Positive,Emotional,Character,0.074
Positive,Emotional,Ordinary,0.012
Positive,Rational,Character,0.023
Positive,Emotional,Ordinary,0.015
Positive,Emotional,Character,0.035
Positive,Rational,Ordinary,0.077
Positive,Emotional,Ordinary,0.048
Negative,Emotional,Character,0.017
Positive,Emotional,Ordinary,0.006
Negative,Emotional,Ordinary,0.05
Positive,Rational,Ordinary,0.023
Positive,Emotional,Character,0.031
Positive,Rational,Character,0.014
Positive,Emotional,Ordinary,0.064
Negative,Emotional,Character,0.02
Positive,Rational,Ordinary,0.015
Positive,Emotional,Character,0.083
Positive,Emotional,Ordinary,0.019
Negative,Emotional,Ordinary,0.083
Positive,Emotional,Ordinary,0.024
Positive,Rational,Character,0.097
Positive,Emotional,Character,0.018
Positive,Emotional,Character,0.012
Positive,Rational,Ordinary,0.043
Negative,Emotional,Ordinary,0.018
Negative,Emotional,Character,0.035
Positive,Emotional,Ordinary,0.023
Negative,Emotional,Character,0.024
Negative,Emotional,Character,0.021
Positive,Emotional,Ordinary,0.04
Positive,Emotional,Ordinary,0.015
Positive,Emotional,Ordinary,0.015
Negative,Emotional,Ordinary,0.047
Positive,Emotional,Character,0.018
Positive,Emotional,Ordinary,0.072
Positive,Emotional,Ordinary,0.024
Negative,Emotional,Ordinary,0.057
Positive,Rational,Ordinary,0.027
Negative,Emotional,Character,0.079
Negative,Emotional,Ordinary,0.028
Positive,Emotional,Ordinary,0.08
Negative,Emotional,Ordinary,0.033
